,Name,Price,URL
116,Nvidia Quadro RTX A4000 16GB GDDR6 256-bit Workstation Graphics Card,69599,https://mdcomputers.in/nvidia-quadro-rtx-a4000-12gb-gddr6-900-5g190-2500-000.html
117,Nvidia Quadro T1000 4GB GDDR6 128-Bit Graphics Card,22999,https://mdcomputers.in/nvidia-quadro-t1000-4gb-gddr6-128-bit-900-5G172-2550-000.html
118,Nvidia Quadro T1000 8GB GDDR6 128-Bit Workstation Graphics Card,28749,https://mdcomputers.in/nvidia-quadro-t1000-8gb-gddr6-900-5g172-2570-000.html
119,Nvidia Quadro T400 4GB GDDR6 64-bit Workstation Graphics Card,10900,https://mdcomputers.in/nvidia-quadro-t400-4gb-gddr6.html
120,Pny Nvidia Quadro Pascal Series NVS510 2GB DDR3 128-bit Workstation Graphics Card,15000,https://mdcomputers.in/pny-nvidia-quadro-nvs510-2gb-ddr3-vcnvs510dvi-pb.html
121,PowerColor Radeon RX 550 2GB GDDR5 64-bit Low Profile OEM Graphics Card,7299,https://mdcomputers.in/powercolor-rx-550-2gbd5.html
122,Sapphire Pulse OC Radeon RX 6500 XT 4GB GDDR6 64-bit Gaming Graphics Card (11314-01-20G),20970,https://mdcomputers.in/sapphire-pulse-rx-6500-xt-4gb-gddr6.html
123,Sapphire Radeon RX 6600 PULSE 8GB GDDR6 128-bit Gaming Graphics Card (11310-01-20G),34449,https://mdcomputers.in/sapphire-pulse-radeon-rx-6600-8g-gddr6.html
124,"ZOTAC GAMING GeForce GTX 1660 SUPER Twin Fan 6GB GDDR6 192-bit Gaming Graphics Card, Super Compact, ZT-T16620F-10L",23999,https://mdcomputers.in/zotac-gaming-gtx-1660-super-twin-fan-zt-t16620f-10l.html
125,"Zotac Gaming GeForce RTX 2060 6GB GDDR6 192-bit Gaming Graphics Card, IceStorm 2.0, Wraparound Backplate, ZT-T20600H-10M",28999,https://mdcomputers.in/zotac-geforce-rtx-2060-6gb-gddr6-zt-t20600h-10m.html
126,Zotac Gaming GeForce RTX 2060 Twin Fan 12GB GDDR6 192-bit Gaming Graphics Card,32999,https://mdcomputers.in/zotac-zt-t20620f-10m.html
127,Zotac Gaming GeForce RTX 3050 AMP LHR 8GB GDDR6 128-bit Gaming Graphics Card,33890,https://mdcomputers.in/zotac-zt-a30500f-10m.html
128,Zotac Gaming GeForce RTX 3050 Twin Edge OC 8GB LHR GDDR6 128-bit Graphics Card,31799,https://mdcomputers.in/zotac-rtx-3050-twin-edge-oc.html
129,Zotac Gaming GeForce RTX 3060 Ti Twin Edge LHR 8GB GDDR6 256-bit Gaming Graphics Card,49999,https://mdcomputers.in/zotac-rtx-3060-ti-twin-edge-lhr-8gb-zt-a30610e-10mlhr.html
130,Zotac Gaming GeForce RTX 3060 Ti Twin Edge OC LHR 8GB GDDR6 256-bit Gaming Graphics Card,50999,https://mdcomputers.in/zotac-rtx-3060-ti-twin-edge-oc-lhr-8gb-zt-a30610h-10mlhr.html
131,Zotac Gaming GeForce RTX 3060 Twin Edge 12GB GDDR6 192-bit Gaming Graphics Card,38499,https://mdcomputers.in/zotac-rtx-3060-twin-edge-12gb-zt-a30600e-10m.html
132,Zotac Gaming GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit Gaming Graphics Card,39499,https://mdcomputers.in/zotac-rtx-3060-twin-edge-oc-12gb-zt-a30600h-10m.html
133,Zotac Gaming GeForce RTX 3070 Ti Trinity 8GB GDDR6X 256-bit Gaming Graphics Card,70999,https://mdcomputers.in/zotac-rtx-3070-ti-trinity-8gb-zt-a30710d-10p.html
134,Zotac Gaming GeForce RTX 3070 Twin Edge OC LHR 8GB GDDR6 256-bit Gaming Graphics Card,64415,https://mdcomputers.in/zotac-rtx-3070-twin-edge-oc-lhr-8gb-gddr6-zt-a30700h-10plhr.html
135,Zotac Gaming GeForce RTX 3080 AMP Holo LHR 12GB GDDR6X 384-bit Gaming Graphics Card,109500,https://mdcomputers.in/zotac-rtx-3080-amp-holo-lhr-12gb.html
136,Zotac Gaming GeForce RTX 3080 Ti Trinity OC 12GB GDDR6X 384-bit Gaming Graphics Card,104999,https://mdcomputers.in/zotac-rtx-3080-ti-trinity-oc-12gb-zt-a30810j-10p.html
137,ZOTAC GAMING GeForce RTX 3090 Ti AMP Extreme Holo 24GB GDDR6X 384-bit Gaming Graphics Card,188999,https://mdcomputers.in/zotac-rtx-3090-ti-amp-extreme-holo-24gb-zt-a30910b-10p.html
138,Zotac GeForce GT 730 4GB DDR3 Zone Edition Graphics Card (ZT-71115-20L),7799,https://mdcomputers.in/zotac-gt-730-4gb-ddr3-lp-zone-zt-71115-20l.html
139,Zotac Graphics Card Pascal Series GT 1030 2GB GDDR5 (ZT-P10300A-10L),7499,https://mdcomputers.in/zotac-gt-1030-2gb-gddr5-zt-p10300a-10l.html
140,Msi GeForce Pascal Series GTX 1050 Ti T OCV1 4GB GDDR5 128-bit Gaming Graphics Card,18100,https://mdcomputers.in/msi-gtx-1050-ti-4gt-ocv1.html
